						TRAIN
SVM
SlctWeight	CR-TP	CR-TN	ACCURACY	Precision	ClasP	ClasN
0.002		70.97	47.37	59.18		62.19		176	117
0.003		97.18	90.69	93.94		97.15		241	224
0.004		97.18	92.31	94.74		97.16		241	228	
0.005		95.97	89.88	92.92		95.93		238	222
0.006		93.95	91.5	92.73		94.03		233	226	
0.007		93.15	85.43	89.30		93.13		231	211	
0.008		82.19	93.15	87.67		92.45		231	203
0.009		94.35	70.85	82.66		93.04		234	175			



NB
SlctWeight	CR-TP	CR-TN	ACCURACY	Precision	ClasP	ClasN
0.002		58.87	54.25	56.55		56.97		146	113
0.003		97.58	95.95	96.76		97.61		242	237
0.004		97.58	95.95	96.76		97.61		242	237
0.005		95.56	93.93	94.75		95.67		237	232	
0.006		95.56	94.33	94.96		95.70		237	233
0.007		87.90	91.09	89.50		88.57		218	225
0.008		88.71	95.14	91.92		89.53		220	235	
0.009		86.69	87.45	87.09		87.10		215	216

					VERIFICACION
SVM
SlctWeight	CR-TP	CR-TN	ACCURACY	Precision	ClasP	ClasN
0.002		70.04	51.21	60.61		63.18		173	127
0.003		70.85	50.00	60.04		63.27		175	124
0.004		70.85	50.40	60.61		63.45		175	125
0.005		68.42	54.44	61.41		63.38		169	135
0.006		65.59	58.47	62.02		63.04		162	145
0.007		65.99	54.44	60.20		61.64		163	135
0.008		69.64	46.77	58.18		60.73		172	116
0.009		74.90	46.77	60.81		65.17		185	116

NB
SlctWeight	CR-TP	CR-TN	ACCURACY	Precision	ClasP	ClasN
0.002		56.68	50.81	53.74		53.74		140	126
0.003		56.68	51.61	51.14		54.47		140	128
0.004		56.68	51.61	54.14		54.47		140	128	
0.005		64.78	51.21	57.98		59.35		160	127
0.006		63.97	50.81	57.37		58.60		158	126
0.007		58.30	53.63	55.95		56.36		144	133
0.008		57.09	53.63	55.35		55.65		141	133
0.009		61.13	56.85	58.99		59.49		151	141
