"Cuerpo","Calificacion","Etiqueta"
"<div class='Normal'><strong>The Lion King Story</strong>: Based on the animated film in 1994, 'The Lion King' is the story of how the life of a young lion changes after his father is murdered.<br><br> <strong>The Lion King Review:</strong> To say this live-action film is a computer-animated remake of 1994’s animated classic doesn’t quite justify its visual impact. The technical advancement in computer animation is on full display here, and it’s genuinely staggering to experience. There are moments when you will wonder if you're watching a wildlife documentary, albeit with one big difference. It’s all scripted with a story you’re familiar with, especially if you’ve watched the 1994 version. So, you already know how this all plays out, and there are virtually no surprises at all. The performances feel somewhat restricted by the realistic portrayal of animals in this version, as it leaves very little room to emote besides the voice work.<br><br>This is where things get really tricky, despite having an immensely talented voice cast. Both Donald Glover and Beyoncé Knowles have the singing credentials, and while Glover adds some charisma to Simba, Nala doesn’t get much to speak of. Still, their relationship is charming in parts. Chiwetel Ejiofor certainly does more to make Scar menacing, and perhaps just enough to remember him as a formidable villain. The most enjoyable characters are Pumbaa and Timon, voiced by Seth Rogen and Billy Eichner respectively. They lighten up the proceedings and bring some much-needed personality with the adorable warthog and meerkat combination. A spin-off featuring Simba, Pumbaa and Timon would be well-received and arguably far more entertaining. As he did in the original, James Earl Jones plays Mufasa once again to bring home the nostalgic factor.<br><br>But there's only so much mileage you can get on nostalgia. ‘The Lion King’ is a shot-by-shot, track-by-track remake which highlights the challenge with the onslaught of live-action re-creations. Is it preferable to stick to the source material, or does it make sense to change it up for current audiences? Jon Favreau prefers to play it safe here, and although that may leave an impression on new audiences, those who have grown up on the animated classic might struggle to find their childhood sentiments revived. Nevertheless, watching this family-favourite come to life will trigger enough awe-inspiring moments thanks to its visual achievements, and that itself warrants a trip to your nearest 3D screen.","3.5","Positivo"
"<div class='Normal'><strong>Yesterday Story:</strong> A struggling singer wakes up after an accident to discover he’s the only person in the world to have heard of The Beatles and their music.<br><br><strong>Yesterday Review:</strong> Jack Malik (Himesh Patel) is at his wit’s end trying to make it as a singer-songwriter. After playing ‘gigs’ to his small group of family and friends, he decides to call it quits, much to the dismay of his childhood friend and now manager Ellie (Lily James). Soon after, a blackout envelops the globe in darkness, and Jack is hit by a bus on his way home. He wakes up to find that no one in the world remembers The Beatles or their songs. Jack uses this opportunity to launch his career as a musician, while his conscience eats away at him. <br><br> In the age of paying tribute to iconic bands and musicians, ‘Yesterday’ has an unusual yet fascinating premise based on ‘The Beatles’ – arguably the most influential band of all time. But as they attempt to think out the box, director Danny Boyle and writer Richard Curtis seem to wind up against a wall, with no interest of getting over, under or around it. Instead, they head off in another direction to focus on the romantic endeavours of Jack and Ellie, who are both inherently likeable characters thanks to Himesh Patel and Lily James respectively. Jack realises he could quickly become the greatest musician to have ever lived, and while he isn’t able to make his peace with it, Patel makes it hard not to sympathise with Jack’s decisions. As a result, the first two acts breeze through on the endearing appeal of the lead pair, light humour, and timeless music of The Beatles.<br><br> Sadly, far-fetched storytelling decisions begin to take you out of the film’s fantasy world in its third act. The writing, and, ultimately, direction fall under the weight of living up to high expectations, leaving you with a few surprises; not all of them entirely pleasant. The best surprise is Ed Sheeran playing ‘Ed Sheeran’ that ends up as one of the film’s highlights. But there isn’t quite enough of him. Then again, neither is the whimsical edge that made the film promising nor are there any attempts at reason either, because, why bother with logic when Love is All You Need. While it may or may not please fans of The Beatles, ‘Yesterday’ is a breezy, fun watch with ample charm.<br><br><br>","3.5","Positivo"
"<div class='Normal'><b>Story:</b> When Osamu Shibata finds five-year-old Yuri on the streets, cold and starving on a winter night, he brings her home to feed her. Intending to drop her back to her family right after. But soon she becomes an integral part of the Shibata family and their daily shoplifting sprees.<br><br> <b>Review: </b>In 'Shoplifters', Kore-eda paints the heartwarming picture of a family living in poverty, stealing to make ends meet and yet closely knit together and empathetic. They live in a cramped home, jostling for space and are seen meeting as a family over dinner, slurping down noodle soup and croquettes- bought from a street food stall. This tiny living space belongs to Grandma Hatsue (Kirin Kiki) and it’s also her pension that somewhat helps the family stay afloat, along with each one’s odd job. Osamu’s wife Nobuyo (Sakura Ando) is employed at a laundry, Aki (Mayu Matsuoka) works at a peep show parlor and he is a daily wage construction worker, indisposed due to an accident. But ultimately, it’s shoplifting of everyday items, groceries and food that keeps them going. And in this expertise Osamu (Lily Franky) takes the lead, with young Shota (Jyo Kairi) under his wing. Osamu creates the distraction while Shota steals and makes a run for it. He reasons to Shota that things in a shop don’t belong to anyone yet so it’s all right to take them.In fact, it’s evident that the Shibata’s are nonchalant about shoplifting as a way of life when Shota is casually told by Nobuyo over dinner to make sure he picks up some shampoo for her the next time. <br><br> <a name='_gjdgxs'></a>And on one such night, little Yuri (Miyu Sasaki) is brought home by Osamu. The family welcomes her warmly for some hot dinner, especially Grandma Hatsue who fusses over her and to her horror discovers several scars on Yuri's body. When Osamu and Nobuyo take Yuri back to the street she has been picked up from to drop her at her doorstep, voices of a couple fighting bitterly emanate from the apartment, confirming the emotional and physical abuse she has faced from her parents. Noboyu decides to bring Yuri back home with her justifying to Osamu and herself that they have not kidnaped the little girl, since they haven’t asked for a ransom.<br><br> As Yuri begins to join Osamu and Shota on their shoplifting jaunts, Shota is at first resentful of her but soon there is an unspoken bond that develops between the two. Much like a brother and sister. When walking home one day they spot some kids going to school, he tells her helpfully, “School is for children who don’t learn anything at home.”<br><br> And as Nobuyo and Yuri’s bond grow deeper almost like a mother and child, on a picture perfect family outing to the beach, she reiterates to Hatsue “Sometimes it’s better to choose your own family.” <br><br> However nothing is as it seems in the Shibata family as Kore-eda’s nuanced and complex narrative begins to unravel itself. As the film draws to a climax astonishing secrets hidden within the family tumble out one after another. And things begin to piece together or rather collapse. Through his poignant, contemplative and potent screenplay Kore-eda cuts open societal hypocrisy and questions family structures as popularly accepted. The visual narrative of Shoplifters is equally powerful – extreme tight close ups, constricted spaces, a recurring motif of food, the visibly changing seasons – from frosty cold nights to hot summer days, the family’s coping mechanisms. And as the film explores moral ambiguity, every character of this dysfunctional family touches a chord. The performances by Kirin Kiri, Lily, Sakura Ando and Mayu Matsuoka are heartfelt and brilliant. But it’s the two children - Jyo Kairi and Miyu Sasaki - who are outstanding and leave the maximum impact, refusing to leave your mind even long after you’ve seen the film. <br><br> Hirokazu Kore-eda’s 'Shoplifters' is a layered, textured film and a definite must watch. Make time for it.<br>","4.5","Positivo"
"<div class='Normal'><strong>Spider-Man: Far From Home Story: </strong>The events of 'Avengers: Endgame' have changed the world; particularly for Peter Parker (Tom Holland) who struggles to keep his personal and professional lives separate. <br><br> <strong>Spider-Man: Far From Home Review: </strong>Peter Parker (Tom Holland) is still reeling after the massive showdown in ‘Avengers: Endgame’, which claimed the life of his mentor, Tony Stark. It’s only natural that he chooses to take a break from apocalyptic threats, and that comes in the form of an overseas school trip, along with his mates. Although, he’s a bonafide Avenger now, which means he has great responsibilities that he can’t escape, no matter where is. Peril soon catches up to him when Nick Fury (Samuel L. Jackson) shows up and gives him his next big mission. But is Peter up to the task? <br><br> One of the biggest tasks the film must tackle is picking up after the Marvel Cinematic Universe’s (MCU) world-altering ‘Endgame’. It does this by taking us into Peter's head, and the frame of mind Spider-Man is in. It makes a compelling angle; Peter is struggling with who he is – a school going teenager who really likes his classmate MJ (Zendaya), and who he is meant to become – Tony Stark’s successor. The plot is mostly built around this problem, and Tom Holland brings a lot of nuance and depth to both angles. Peter’s affable demeanour is now well-established, but Holland also makes this Spider-Man a more significant force to be reckoned with, and that’s saying something.<br><br> The film’s plot also has to juggle between a high-school romantic comedy tonality and the guns-blazing action spectacle that audiences have come to expect from an MCU film by now. While this can get occasionally tedious – some jokes feel a little forced and could have easily been left out – it’s engrossing under Jon Watts’ direction. Chalk it up to the performances, especially with Jake Gyllenhaal’s take on Quentin Beck a.k.a. Mysterio. The character is entirely unpredictable, made more intriguing by Gyllenhaal’s performance. The action set pieces are surprisingly innovative, especially in the second half of the film. As a result, 'Spider-Man: Far From Home' is a lot of fun but more importantly, the film is also a satisfying continuation and way forward for the MCU, as Tom Holland proves he’s more than capable of carrying an Avengers’ film on his young shoulders. <br><br><br>","4.0","Positivo"
"<div class='Normal'><strong>STORY: </strong>When Shay lands a coveted role in his school’s annual play, it leads to him being bullied mercilessly by his seniors. As much as he would like to hold on to his part, it gets increasingly difficult for him and soon things spiral out of control. <br><br><strong>REVIEW: </strong>Seniors, students Arjun (Mohammed Ali Mir) and Baadal (Shaan Grover) call all the shots at their boarding school, Mount Noble High. There is a strict code of seniority and the junior students almost always toe the line, barely defying the school bullies despite a strict watch by the House teachers and the Head Master. Because no one wants to be called a ‘rat’ or a snitch, which is perceived to be worse than bullying by the students. <br><br>When a shy and sensitive Shay (Ali Haji) is picked by his drama teacher, Murali (Kunal Kapoor) for the role of Bassanio in Shakespeare’s Merchant of Venice, the play to be performed for the school’s 50th Founders Day, the bullying just gets worse for him. All because Baadal, son of a movie star thinks he fits the role better. And when Murali makes him Shay’s under study for the role, all he has to do is get Shay to refuse the part. But when Shay’s quiet determination to play his character makes him disregard Baadal’s wishes – the price has to be paid. First by his best friend Gunzu (Hardik Thakkar) and then eventually by Shay. And when a well-meaning Murali steps in to sort things out for Shay, things take a murky turn. <br><br>As preparation for the play continues, Murali urges his students to shed their inhibition and channelize their anger with the thought of avenging or revenge, one of the central themes of Merchant of Venice. At one point when he says ‘Theatre imitates life’, little does he realize how fateful his words will turn out to be. <br><br>Noblemen addresses school bullying head on – and gives a very graphic picture of just how brutal it can get. And the psychological impact it can eventually have on one’s mind. It also tackles confusion about one’s sexual orientation, homophobia and the pressure to fit in. The pace does lag at points but overall the film headlines some very important issues. <br><br>As the students - Ali Haji, Muskaan Jaferi (as Pia), Hardik Thakkar, Mohommad Ali Mir and Shaan Grover deliver fine performances slipping into their roles effortlessly. Kunal Kapoor is charming and effective as Murali. And Soni Razdan as Shay’s mother is spot on as always despite her limited screen time. <br><br>Winter and the backdrop of mountains, makes for the perfect setting in ‘Noblemen’ as an unpredictable twist and the end of innocence makes its way here. <br><br>","3.0","Positivo"
"<div class='Normal'><strong>STORY:</strong> 'Annabelle Comes Home' is the third instalment in the 'Anabelle' series and the seventh instalment in the 'Conjuring Universe' franchise. The possessed doll is once again on the loose, wreaking havoc. This time it targets Judy (Mckenna Grace), the 10-year-old daughter of the Warrens (Patrick Wilson and Vera Farmiga) along with her young baby sitters. Will Annabelle and her evil forces succeed in feeding on their fear?<br><br> <strong>REVIEW:</strong> ‘Positively do not open,’ reads the warning sign etched in bold capital letters on the sacred closet, holding the evil doll Annabelle. You don’t need to be a horror fan to know that somehow, the exact opposite will happen. Clearly, unpredictability is not among the strong points of Annabelle Comes Home. However, for a debutant, director and writer Gary Dauberman delivers quite handsomely in dishing out many delicious jump scares at a consistent pace. At the heart of it is his excellent camera control and the strategy to generate constant scares.<br><br> The film opens with the daredevil duo Ed and Lorraine bringing the doll home. They lock it up in their basement, along with a host of other creepy memorabilia from their infamous cases. The room is packed with ghostly goodies waiting to be fiddled with for all hell to break loose. Meanwhile, their daughter Judy is having a hard time with school bullies because of what her parents do for a living. This part is sensitively handled. But the narrative quickly gets into the action mode, as the couple goes away for a weekend, leaving their daughter with a young but responsible babysitter Mary Ellen (Madison Iseman). All is well, until her bestie Daniela (Katie Sarife) goes snooping around the house, hoping to find some connect with her dead father. Another well-executed plot point to bring in the emotional connect with a character and justify her actions. What follows is a spookfest that will transport you into a house of horrors. The background score is very effective and adds to the impact when used with some novel ideas to induce fear. And once the ghostly business begins, there’s hardly a dull moment. Dauberman throws in some comic relief too, when a nerdy neighbor - the young Bob (Michael Cimino) besotted by Mary Ellen, tries to woo her, but gets caught in the crossfire.<br><br> Performance-wise, child star Mckenna Grace does a fine job with her restrained act even during the most horrific turn of events. Rest of the cast plays along well. Vera Farmiga and Patrick Wilson have limited screen time, but with so much nonstop action, their absence is hardly felt. The Victorian setting of the Warren home and the subtle dark colours add oodles of spookiness to the proceedings. Overall, 'Annabelle Comes Home' is a textbook scarefest that delivers on its promise to haunt, without being complicated or preachy about Gods and demons.<br>","3.5","Positivo"
"<div class='Normal'><strong>Anna Story:</strong> Don’t let her striking beauty fool you. Anna is one of the world’s deadliest assassins, and she’s on a mission.<br><br> <strong>Anna Review:</strong> Russian model Sasha Luss is Anna – an intelligent, highly skilled, lethal assassin. The KGB employs Anna under the mentorship of Olga (Helen Mirren). Hired by a modelling agency, Anna has the perfect cover as she stacks up kills, working closely with her comrade Alex (Luke Evans). But as is the case with spy-thrillers, everything is not as it seems. To reveal any more of the plot would take away the element of surprise, and while that’s generally avoided in assessing a film, it’s a plot device that ‘Anna’ relies heavily upon. Unfortunately, this becomes detrimental. <br><br> Luc Besson has made a career out of female-centric films in the past, and he does well to establish Anna as a determined killer. Sasha Luss has ample moments to showcase her acting and fighting skills and is convincing enough in both areas, although the role demands a far more experienced and nuanced performance. Being paired with Helen Mirren certainly helps the newcomer, especially as the veteran actress adds emotional depth to some scenes that serve the film well. Mirren revels in the character as she clearly enjoys playing a tough-as-nails, no-nonsense KGB trainer. Luke Evans and Cillian Murphy put in strong turns as agents at opposite ends. But all their efforts can’t salvage a convoluted screenplay. <br><br> Initially, ‘Anna’ effectively uses flashbacks to fill in narrative gaps after throwing one twist after the other. Sadly, there comes a point where they become increasingly far-fetched; cinematic liberties notwithstanding. This also leads to blurry motives. It’s hard to pin down what Anna really wants, so when she goes full throttle killing everyone in sight, the action loses some steam. Add to the fact we’ve seen ample hand-to-hand combat, and gunfights in the recent past to be easily impressed. The action stakes have been raised, and ‘Anna’ is a couple of years behind on that front. Luc Besson’s latest is stylish, yet indulgent in its execution to a fault. Yes, there’s some fun to be had in this bonkers spy-thriller led by a tough female protagonist, but the gasps eventually develop into groans as 'Anna' tries to shock you at every turn.<br>","3.0","Positivo"
"<div class='Normal'><strong>STORY:</strong> A street artist from Mumbai, Ajatashatru takes off for Paris, to find his missing father in order to fulfil his deceased mother’s lifelong dream. But his journey that takes him across the globe, due to an extraordinary series of events turns out to be much more than what he expected!<br><br><strong>REVIEW: </strong>When a young Aja or Ajatashatru (Hearty Singh, child actor) living with his single mother (Amruta Sant) realizes he is actually poor, he takes it upon himself to change the course of his life. He spends his time after school, showing tricks to tourists in exchange for some money, sometimes even hoodwinking them into parting with a little more than they intended. <br><br> Years later, when his mother passes away, Ajatashatru (Dhanush), decides to travel to Paris to trace his father, a French magician. He rustles up a flight ticket and with a fake 100 Eur note and a passport, lands in Paris. A series of events take over to make his journey nothing short of fascinating – from a brewing romance with Marie (Erin Moriarty) to mistakenly travelling to London in a wardrobe with illegal immigrants for company. Being deported to Spain and then landing in Rome hidden in a large suitcase on a chartered flight with an actress, Nelly (Berenice Bejo). There is even a hot air balloon ride with macaroons and champagne, and a ship to Libya thrown into the mix. Yes, there is heavy dollop of magic realism here and if one can suspend disbelief and surrender, it makes for a fun watch. <br><br> While at some level the film deals with the conditions and dire straits of illegal immigrants and refugees, and brings through a few poignant moments, it essentially follows Ajatashatru’s adventures, his tryst with chance and karma, and of course his love story.All through, director Ken Scott keeps the mood light and frothy with emotional moments and laughs weaved in. While it does succumb to a few exotic tropes when set in Mumbai, the film has a ton of color, comedy, music and Bollywood style song and dance number bunged in, to keep it chugging at a neat pace. <br><br> Based on a book by Romain Puertolas, the film is Dhanush’s Hollywood debut. While the rest of the cast - Erin Moriarty, Berenice Bejo, Barkhad Abdi and others pull off likeable performances, Hearty Singh as the young Aja makes quite an impression with his limited screen time. But ultimately, it is Dhanush who owns the heart and soul of the film. With his easy charm, smile and perfect comic timing, he gives a winning performance. It’s a pleasure to watch him having so much fun with his role. And that’s one very good reason to catch this feel good film. <br><br><br>","3.5","Positivo"
"<div class='Normal'><strong>Story: </strong>Woody (Tom Hanks), now in Bonnie’s possession, sets off on an adventurous journey with the rest of the toy gang. Eventually, he finds his true calling.<br><br><strong>Review: </strong>Hollywood has a distinct ability to breathe life into objects and the Toy Story franchise is perhaps the best example. This time, writers Andrew Stanton and Stephany Folsom introduce some new characters in this emotional roller coaster. While we still have the good ol’ Woody holding the center stage, the focus is now on Forky. As the name suggests, it’s just a fork with strings for hands and broken wooden sticks for toes. But the fact that you feel instantly connected with him and root for him symbolises the brilliance of the film’s nuanced writing and near flawless execution. Tony Hale’s perfectly pitched voice and an endearing character arc gives him the edge. Director Josh Cooley promptly pulls Toy Story 4 into the action mode as the motley group of toys are taken on a road trip. The fun adventure begins right from the start, as we see Woody inadvertently getting in trouble for always doing the right thing. And Tom Hanks’ reassuring voice is so well suited to Woody that he never feels like a toy. Of course, the other superstar toys from the Toy Story hall of fame continue to shine here too. Among them, Buzz Lightyear (Tim Allen) and Bo Peep (Annie Potts) get a lot more to play with, compared to the rest of the gang. Watch out for Bo’s character transition from a porcelain skinned beauty to a street-smart survivor. Buzz on the other hand, continues to charm as a supportive friend, who is always ready to take one for the team. While the other characters (like Potato Heads, Jessie, Bullseye, Hamm and Rex) are mostly relegated to the background, many laugh out loud moments come from the adorable newcomers Ducky (Keegan-Michael Key) and Bunny (Jordan Peele). More newcomers like the Canadian biker stuntman Duke Caboom (Keanu Reeves) and the doll named Gabby Gabby {Christina Hendricks) add a whole new twist to the tale. While Gabby’s character develops in an intriguing manner, Caboom adds to the action adventure despite an equally poignant past. But the hero of the film is clearly Woody, who always plays it right and tugs at your heartstrings. <br><br>What really makes Toy Story 4 special is its strong emotional fabric woven into a riveting narrative. Dialogues are laced with high emotional impact and are delivered effectively in familiar voices. This brilliantly captures the film’s core mission to humanise the bond between a child and a toy. Overall, this instalment of Toy Story succeeds in achieving a lot more than just laughs. It manages to strike a universal chord with its audience, by posing deep and meaningful questions like the purpose of our existence. And it does all of this in a wholesome entertaining way with enough comedy and action to make it a fun ride for children of all ages.<br><br>Even in its fourth instalment, Toy Story not only remains highly relevant, but also elevates the franchise to newer highs of cinematic excellence.<br><br>","4.5","Positivo"
"<div class='Normal'><strong>Men In Black International Story:</strong> Men in Black (MIB) goes international as the secret agency continues to protect the world from intergalactic threats, with Agent H (Chris Hemsworth) and recruit M (Tessa Thompson) leading the charge.<br><br><strong>Men In Black International Review: </strong>Molly (Tessa Thompson) encounters the MIB as a young girl and becomes obsessed with finding the secret organisation. She’s written off as crazy for believing in aliens, but her persistence leads her to the doorstep of the US headquarters. Impressed by her tenacity, department head Agent O (Emma Thompson) gives Molly a chance to prove herself, dubbing her Agent M, and putting her on probation. M is packed off to London, where she meets the heroic Agent H, who saved the world along with the London head High T (Liam Neeson) using only their wits. Agents H & M are assigned a seemingly low-key mission, but everything goes haywire, leaving the fate of the planet in their hands.<br><br> While this plot sounds pretty much like every other MIB film so far, this continuation of the franchise appeared to be a lot more promising with the charismatic and currently popular Chris Hemsworth, paired with the equally affable Tessa Thompson. The actors have previously worked together with impressive results. Director F. Gary Gray aims to capture their lightning chemistry in this film but instead ends up proving that no amount of charisma can substitute a strong screenplay. 'MIB International' meanders along the way to set up the plot, and all the wisecracks (few of which land), special effects (nothing that we haven’t seen already), or fancy aliens (same as before) can’t seem to salvage it. All isn’t lost; the one character who stands out is Pawny, voiced by Kumail Nanjiani. His thumb sized alien somehow gets the best lines, and therefore, the best laughs. Should there be a sequel, his backstory might be worth looking into. <br><br> Other than that, there’s not much to savour here. The villains are bland, and although some of them have pretty cool powers, their motivations are as derivative as their personalities. There is intrigue around the relationship between Riza (Rebecca Ferguson) and Agent H, but it is barely explored. An obligatory twist towards the climax has a storytelling element that holds promise. Sadly, it comes a little too late in the proceedings. Despite all its shortcomings, Chris Hemsworth and Tessa Thompson fans may be able to sit this through, simply because their screen presence is so magnetic and charming. Pity they’re working with such a bland script, ending in a film that seems to cater to new audiences, rather than those who grew up watching the edgier MIB movies before it.<br>","3.0","Positivo"
