"Cuerpo","Calificacion"
"<div class='Normal'><strong>Spider-Man: Homecoming </strong><strong>Story :</strong> It's been a while since Captain America: Civil War, where an ecstatic and starstruck teen Spider-Man/Peter Parker (Tom Holland) rubbed shoulders with the mighty Avengers. Months later, Peter yearns for the heroic experience once again. But mentor Tony Stark aka Iron Man (Robert Downey Jr) advises him to go back to school and patiently wait for his moment of glory, when he can assist the Avengers.<br>
<br>
<strong>Spider-Man: Homecoming </strong><strong>Review : </strong>However, patience is certainly not the boy’s virtue. Desperate to earn a sensational 'job offer' from Stark, the trainee masked crusader curbs petty robberies and scouts for a crime worthy enough to fight. He soon runs into ‘Vulture’ (Michael Keaton), a man who poses real threat to lives. Can Spider-boy take him down?<br>
<br>
Jon Watts starts his film with a clean slate. Unlike the previous outings, his Spider-Man reboot doesn’t necessarily have the aura of a superhero epic. He gives it a quirky campus-caper twist, which evokes mixed views initially. His Peter is solely focussed on being an A list (Avengers like) superhero. There are no sob stories of Uncle Ben or Aunt May either. May in fact, is a hottie (Marisa Tomei)! Once you warm up to Watts’ vision, this Spidey film, replete with humour and thrilling stunt scenes, grows on you and tugs at your heartstrings eventually.<br>
<br>
What also works is Holland’s effortless earnestness. The British actor is no looker unlike a Tobey Maguire or Andrew Garfield, nor does he carry their character’s emotional turmoil or bewilderment. But that makes him the most relatable Spider-Man, till date. You feel his need to prove himself to Stark; heartbreak, when that dream falters and him discovering himself at the end of it all.<br>
<br>
Other than Robert Downey’s recurring special appearances (even at an Indian wedding), it is Michael Keaton’s formidable screen presence as the anti-hero, that holds the film together, when Parker’s goofing around gets a tad tiresome.<br>
<br>
Spider-Man: Homecoming breathes new life into the MCU (Marvel Cinematic Universe) as well as the friendly neighbourhood superhero that was forever torn between love and responsibility.<br>
<br>
<strong>Note: For those unfamiliar with Marvel films, remember to be ‘patient’ enough to wait back for two after-credits scenes.</strong>

","4"
"<div class='Normal'><strong>The Big Sick </strong><strong>Story:</strong> Kumail Nanjiani(Kumail Nanjiani) is a Pakistani cab driver and an aspiring comedian who is instantly drawn to American student Emily Gordon(Zoe Kazan) who he bumps into at a bar in Chicago. But, his parents want him to be a good Muslim and marry a Pakistani. And therein lies the conflict or at least some of it …<br>
<br>
<strong>The Big Sick </strong><strong>Review:</strong> Michael Showalter’s drama is based on the real-life romantic track of the protagonist (Kumail who plays himself) and the gori he ultimately marries. And the script (co-written by Kumail and Emily) has many laugh-out-loud moments. Their initial dates, where the couple talks of keeping it casual are fun to watch. As is the scene in which you’re introduced to Kumail’s family. The banter at Nanjianis’ suburban Chicago home with his parents Azmat (Anupam Kher) and Sharmeen (Zenobia Shroff), is delightful. Like most immigrants, they’ve made America their home, but Pakistan still resides in their hearts. Typically they encourage their son to pray to Allah and even organize a daily parade of eligible young Pakistani-American women for him to choose his bride from.<br>
<br>
Kumail who fears that he’ll be osctracised doesn’t tell his parents about his American girlfriend. Nor does he give in to Emily’s request of having dinner with her parents—Terry (Ray Romano) and Beth (Holly Hunter) who are visiting from North Carolina. This is when Emily decides to call off their relationship. But fate wills otherwise. When she lands up in hospital, Kumail who takes charge of the situation also comes to terms with how deeply he cares for her.<br>
<br>
Self-deprecatory humour keeps the mood alive through and through. Be it a mention of the ISIS or Terry’s wish to talk with a Muslim about the 9/11 attacks, everything provides a `good’ laugh.<br>
<br>
Kumail’s cowardice in not telling his parents that he is dating a non-Muslim and his initial terse interactions with Emily’s parents in the hospital are both funny and emotional.<br>
<br>
As far as performances go, Ray and Holly lead the way; Anupam Kher is adept and Kumail with his mostly-comic expressions passes muster. The film lacks the vitality of My Big Fat Greek Wedding and other such romcoms. It could also do with a 10-minute shorter run. But there is no taking away from the fact that this smart comedy is an ideal monsoon getaway.","3.5"
"<div class='Normal'><strong>Story:</strong> Baby is the designated driver for a heist orchestrator called Doctor. But while his foot is on the gas, his conscience wants him to hit the brakes.<br>
<br>
<strong>Review:</strong> It is a simple sign of cinematic triumph if, throughout a movie, you are bobbing your head and tapping your foot to the rhythms of the scenes.<br>
<br>
<div id='mvslider' style='display:none;'>movie","4"
"<div class='Normal'><strong>Despicable Me 3 </strong><strong>Story:</strong> The third chapter in the life of Gru (Steve Carell), his adorable wide-eyed little girls and the minions, sees them embarking on a new adventure that involves a dancing villain Balthazar Bratt (Trey Parker), Gru’s blonde twin brother Dru (Carell) and a unicorn. Also, having given up his ‘villainy’, will Gru partake in a heist to keep his family tradition alive?<br>
<br>
<strong>Despicable Me 3 </strong><strong>Review:</strong> The latest instalment of Illumination’s hit franchise is the ‘Knight and Day’ and ‘Mission: Impossible’ of animation films. It has truckloads of action to keep you entertained and a bit of drama to evoke emotions. Fast-paced and loaded with adventure, this one rarely has a dull moment. On the flip side, you miss the heart-to-heart conversation between Gru and the girls that caught your fancy in the first film.<br>
<br>
To sum it up, this one's an outlandish and overstuffed sequel that has too many things going on all at once. It comprises a heist, Gru's discovery of his long lost twin brother Dru, bubble gum firing bad guy, minions displaying their singing skills etc. What it lacks emotionally, it tries to make up in the form of constant action sequences. While it’s not easy to make an exciting instalment with the same template, Kyle Balda and Pierre Coffin manage it to a certain extent, thanks to Steve Carell and Kristen Wiig’s fantastic and consistent voice contribution.<br>
<br>
Though not as endearing as the first film or funny as the second, Despicable 3 achieves what it sets out to - entertain the kids. Unlike the previous films, this predominantly caters to the younger crowd. It lacks the warmth of the original but if you don’t mind too many Grus, guns, bubblegums and robots, this colourful, cutesy film can be a fun one time watch.<br>
<br>
<strong>TIP:</strong> This film doesn’t necessarily require a 3D viewing. 2D is just fine.

","3.5"
"<div class='Normal'><strong>All Eyez on Me </strong><strong>Story: </strong>An authorised biopic of the slain rapper Tupac Shakur leading from the time he got famous until his violent death.<br>
<br>
<strong>All Eyez on Me </strong><strong>Review:</strong> Saints and sinners, both have chinks in their armour. And when an ‘official’ biopic is made on these personalities, filmmakers often tend to deify them in the movie. That’s the case with All Eyez on Me; the official biopic of the slain rapper Tupac Shakur.<br>
<br>
The film paints Tupac (Demetrius Shipp Jr) as a saint of the ghetto with the soul of a poet who did nothing wrong. There is no question that Tupac was a genius, justly deified in the rap world because of his music. He fused together firepower delivery, a devil-may-care attitude along with a strong sense of social justice in his songs; something never seen in rap music before. He made around 700 songs and went multi-platinum on album sales before he was shot and murdered at 25. But he wasn’t all saint. It’s cringe-worthy then, when the film tries to portray him as one.<br>
<br>
Ambitious in the way it tries to tell the entire life story of Tupac, All Eyez on Me presents a bird’s-eye view of Tupac’s rise to fame and the key moments of his career. But it skips the moments which you want to see the method behind the rapper’s madness. The incident where a six-year-old kid is accidentally shot dead by a gun belonging to Tupac is glossed over. Even the gang connections he had in real life which often landed him in trouble, are not mentioned. The biopic shies away from his rough side that and only focusses on how Tupac was wronged by the society at large, and how his rise to fame, fuelled his demise.<br>
<br>
Performance wise, the film is rather weak. Demetrius Shipp Jr only looks like Tupac. There’s none of the craziness of the rapper in him which we’ve seen in Tupac’s interviews and his songs. Another huge disappointment is Jarrett Ellis as Snoop Dog, who lacks the nonchalance we see in the real snoop; he only sounds like him, which is comical. Dominic L. Santana as Suge Knight is more a club bouncer than a sharp record executive. And the entire Biggie vs Tupac rivalry is given very little attention.<br>
<br>
Since it’s Tupac, the music being brilliant is a no-brainer. However, unlike biopics on rappers in the past like ‘Straight Outta Compton’ or ‘8 Mile’, viewers who aren’t aware of the legacy of Tupac, won’t quite be able to connect with the film. But for fans of Tupac, it’s just the thrill of seeing something about their rap idol on screen. There are better unofficial documentaries on this subject. For those who believe in the controversy theory that Tupac still lives, this movie proves that he’s not among us anymore. Because if he was, this would have been a much better flick.

","2.5"
"<div class='Normal'><strong>Cars 3 </strong><strong>Story:</strong> A new breed of racers gives Lightning McQueen (Owen Wilson) stiff competition on the track. Now one of the oldest race cars, Lightning needs to prove that he is still a top racer with help from an eager young female car named Cruz Ramirez (Cristela Alonzo)<br>
<br>
<strong>Cars 3 </strong><strong>Review: </strong>Pixar films have redefined the scope of animated movies with pathbreaking stories in the ‘Toy Story’ trilogy, ‘Wall-E’, ‘Inside Out’, ‘The Incredibles’ and ‘Up’, just to name a few. But few of their missteps have been as prominent as the ‘Cars’ franchise. With the novelty of the first entry wearing thin in the sequel, ‘Cars 2’ seemed like a blatant cash grab for the studio. That movie focused on a secondary character – Mater – for no reason, other than to ensure there was enough merchandise for kids to buy in stores.<br>
<br>
<div id='mvslider' style='display:none;'>movie","3.5"
"<div class='Normal'><strong>The Mummy </strong><strong>Story: </strong>Millennia after being denied her fate, a betrayed Egyptian princess is back from the dead to take revenge. Determined to reclaim all that should have been hers, she unleashes terrors beyond human understanding.<br>
<br>
<strong>The Mummy </strong><strong>Review:</strong> Tom Cruise manages to stay fit at the age of 54 because he spends a lot of time running in his action movies. He also endures copious amounts of physical abuse, ranging from getting beaten up to thrown around; all for our viewing pleasure, while he gets a hefty paycheck in return. It's a fair trade for the most part - these are popcorn blockbusters that are mindless fun, and everyone is reasonably entertained. So it's hardly a shocker that Cruise ends up going through his tried and tested 'Mission Impossible' motions in ‘The Mummy’.<br>
<br>
Unfortunately, the entertainment value in this franchise-building reboot is thinly spread, leaving you feeling deprived if not cheated. This is a shoddy stab at merging action, mythology, horror and comedy resulting in conflicting tonality. Even the occasionally surprising, massive set pieces with elements flying at you in 3D, are interspersed between two-dimensional characters who exist merely to cater to movie tropes.<br>
<br>
Cruise’s protagonist is his version of a lovable rogue, in the same vein as Indiana Jones, making some seriously questionable decisions throughout the movie. Annabelle Wallis wanders around as the damsel-in-distress in need of constant rescuing. Russell Crowe hams it up as a Nick Fury-ish leader with ambiguous motives spewing campy exposition. There’s even the sidekick (Jack Johnson) whose weary sense of humour brings out eye-rolls, amongst even more exposition. If there’s one character your eyes will be glued to, it’s Sophia Boutella. Adequately mesmerising as Ahmanet a.k.a. the mummy, she transitions from a creepy, violent monster to a seductive goddess with ease, but her impact is reduced by the screen time devoted to convincing us of Cruise and Wallis’ love angle, even though that’s devoid of any chemistry.<br>
<br>
There’s enough gruesome eye candy, and in-your-face action to enjoy in ‘The Mummy’ if you ignore the plot holes and frustrating characters. But the first entry in Universal Pictures’ monster franchise comes across as a desperate attempt by the studio to capitalise on Hollywood’s current world-building frenzy. The amount of effort taken to construct the inevitable sequels is staggering. Admittedly, there's been some intrigue since we saw the heavily photoshopped picture of Cruise, Boutella and Crowe alongside Johnny Depp and Javier Bardem promising a lot more from the ‘Dark Universe’. But in the absence of quality writing, gripping plots and characters to truly care about, perhaps some monsters are best left buried.

","3"
"<div class='Normal'><strong>Story:</strong> Nandu and Bonnie go back home to McCluskiegunj for a week. The house soon fills up with old friends and new equations as the reclusive Shutu watches on in despair.<br>
<br>
<strong>Review:</strong> Konkona Sensharma’s debut feature is nothing short of a haunting folk-tale told around a crackling bonfire on a cold night. Perhaps Sensharma has heard it over a bonfire herself, given that the film is inspired by true events experienced by her family.<br>
<br>
<div id='mvslider' style='display:none;'>movie","3.5"
"<div class='Normal'><strong>Story</strong>: Diana, princess of the Amazons, is raised on a sheltered island paradise and trained to be an unconquerable warrior. When an American pilot crashes on their shores and tells of a massive conflict raging in the outside world, Diana leaves her home, convinced she can stop the threat as she discovers her full powers as ‘Wonder Woman’.<br>
<br>
<strong>Review</strong>: After decades of being lost in Hollywood developmental hell with a number of false starts and a host of A-list actresses slated to play the coveted role, this is the first bona fide, massive budget, female-led superhero movie to hit the big screen. By this definition itself, ‘Wonder Woman’ already had colossal expectations to meet, but with the added pressure of lifting the DC Extended Universe (DCEU) out of the murk of its dreary sub-par films, Gal Gadot had a lot of weight to carry on her shoulders. Fortunately, her first appearance in ‘Batman v Superman: Dawn of Justice’ was well received, especially as Diana Prince a.k.a. Wonder Woman managed to stand her ground alongside two comic book behemoths. She continues to ride the wave in her own solo film, adding some much-needed confidence to the DCEU but more importantly doing justice (pun obviously intended) to the iconic female superhero.<br>
<br>
This is largely credited to director Patty Jenkins whose familiarity with constructing strong female characters, as seen in the Oscar-winning ‘Monster’, pays off here. Jenkins’ vision for this film is a blend of an uplifting and humorous outlook that has been sorely lacking in the DCEU till this point, infused with a strong sense of morale. Most importantly, it takes a distinctive stance on feminism – one that doesn’t resort to male bashing to get its point across, as highlighted in the relationship shared by Diana Prince and Steve Trevor, played by the charismatic Chris Pine. Diana is far from the damsel in distress in need of a knight in shining armour to rescue her, and Trevor is well aware of that. As a result, their connection is built out of mutual respect that plays very well on screen. Speaking of which, if there were any lingering questions about Gadot’s ability to embody the Amazon warrior princess, this film certainly erases them all beyond any shadow of a doubt. She is convincing as the naive yet steadfast fish-out-of-water, harking back to Christopher Reeve in the very first Superman film.<br>
<br>
But, the movie is hardly perfect – there are flaws in pacing and unevenly written secondary characters that resort to some stereotyping. Weak and shallow villains – the plague of superhero films – also infect ‘Wonder Woman’, and become a particularly sore point in the third act. These issues tend to take you out of the film’s experience and while they don’t negate the positives listed so far, lessen its potential to reach new heights as a great comic book movie. That said – this is undoubtedly the strongest DCEU outing till now, one that will add a new world of (female) fans to the franchise, and for all the right reasons.<br>

","4"
"<div class='Normal'><strong>Baywatch Story: </strong> This comic adaptation of the 90’s beach-set TV series revolves around an elite lifeguard crew, headed by Mitch Buchannon (Dwayne Johnson), who must stick together to keep their shores clean and secure from baddie Victoria Leeds (Priyanka Chopra).<br>
<br>
<strong>Baywatch Review:</strong> First things first, Priyanka Chopra looks smokin’ hot in this two-hour-long behind the scenes footage, masquerading as a film.<br>
<br>
<div id='mvslider' style='display:none;'>movie","2.5"
